n_instrs,n_assigns,n_binops,n_calls,n_labels,n_literals,n_temps,has_loop,call_density,assign_ratio,avg_use_count,depth_score,label_constant_fold,label_dead_code,label_loop_unroll,label_inline
36,15,21,2,2,4,3,1,0.0556,0.4167,0.928,6,1,1,0,0
68,26,42,0,3,4,6,1,0.0,0.3824,3.396,6,1,0,0,0
13,2,11,1,1,2,3,1,0.0769,0.1538,1.031,3,0,0,1,1
8,4,4,0,0,2,4,0,0.0,0.5,2.521,0,1,0,0,0
21,6,15,1,2,2,5,1,0.0476,0.2857,0.926,5,0,1,1,0
22,7,15,2,6,2,7,1,0.0909,0.3182,1.409,14,0,1,0,0
17,13,4,0,0,10,2,0,0.0,0.7647,2.217,0,1,0,0,0
46,8,38,2,5,1,19,1,0.0435,0.1739,3.198,12,0,0,0,0
23,7,16,1,0,0,2,0,0.0435,0.3043,1.665,1,0,1,1,0
35,3,32,1,4,0,12,1,0.0286,0.0857,1.143,9,1,1,0,0
27,11,16,2,2,1,10,1,0.0741,0.4074,0.52,6,1,1,1,0
6,3,3,1,0,2,0,0,0.1667,0.5,2.159,1,1,0,0,1
46,11,35,5,5,7,20,1,0.1087,0.2391,2.275,15,0,0,0,0
25,13,12,0,0,4,8,0,0.0,0.52,1.394,0,1,1,0,0
14,2,12,0,5,2,7,1,0.0,0.1429,2.842,10,0,0,0,0
26,8,18,0,1,0,4,1,0.0,0.3077,2.953,2,0,0,1,0
50,11,39,4,2,8,9,1,0.08,0.22,1.387,8,0,1,0,0
18,3,15,0,0,1,2,0,0.0,0.1667,1.131,0,0,0,0,0
18,2,16,0,6,0,7,1,0.0,0.1111,3.225,12,0,0,0,0
27,8,19,1,2,1,4,1,0.037,0.2963,1.835,5,0,0,1,0
9,4,5,1,0,0,7,0,0.1111,0.4444,2.097,1,0,0,0,1
6,3,1,2,0,1,3,0,0.3333,0.5,0.538,2,1,1,0,1
7,6,1,0,0,0,7,0,0.0,0.8571,1.022,0,0,1,0,0
8,1,7,0,0,0,1,0,0.0,0.125,0.592,0,0,0,1,1
20,7,13,0,0,1,2,0,0.0,0.35,1.379,0,1,1,0,0
20,3,11,6,0,2,1,0,0.3,0.15,2.612,6,0,0,0,1
3,0,3,0,0,0,3,0,0.0,0.0,1.92,0,0,0,0,0
6,0,6,1,0,0,3,0,0.1667,0.0,1.938,1,1,0,0,1
61,18,43,4,0,5,7,0,0.0656,0.2951,2.766,4,0,0,0,0
8,4,4,1,0,2,2,0,0.125,0.5,1.381,1,1,1,0,1
74,8,66,1,3,6,14,1,0.0135,0.1081,3.453,7,0,0,0,0
2,2,0,0,0,2,2,0,0.0,1.0,2.229,0,1,0,0,0
12,3,6,3,0,1,1,0,0.25,0.25,2.619,3,0,0,0,1
7,2,0,5,0,0,1,0,0.7143,0.2857,0.574,5,0,0,0,1
21,5,16,0,5,1,3,1,0.0,0.2381,0.574,10,0,1,0,0
18,4,14,2,0,2,2,0,0.1111,0.2222,3.351,2,1,0,0,1
5,2,3,0,0,0,0,0,0.0,0.4,1.591,0,1,0,0,0
7,1,1,5,0,1,4,0,0.7143,0.1429,2.293,5,0,1,0,1
24,9,15,0,5,4,12,1,0.0,0.375,0.52,10,1,1,0,0
20,5,15,2,4,2,6,1,0.1,0.25,1.486,10,0,1,0,1
9,1,2,6,0,1,4,0,0.6667,0.1111,3.093,6,0,0,0,1
9,2,7,1,1,0,5,1,0.1111,0.2222,2.682,3,0,0,1,1
18,14,1,3,0,2,2,0,0.1667,0.7778,1.163,3,1,1,0,1
5,1,1,3,0,0,5,0,0.6,0.2,2.029,3,0,0,0,1
23,2,21,0,3,1,2,1,0.0,0.087,0.533,6,0,0,1,0
25,4,21,0,0,0,3,0,0.0,0.16,2.429,0,0,0,0,0
5,2,3,1,0,0,2,0,0.2,0.4,1.899,1,0,0,0,1
9,4,5,1,0,1,4,0,0.1111,0.4444,1.512,1,1,0,0,1
27,8,19,0,4,1,4,1,0.0,0.2963,1.716,8,0,1,0,0
12,2,10,0,2,2,4,1,0.0,0.1667,2.953,4,0,0,1,0
1,1,0,0,0,0,2,0,0.0,1.0,3.307,0,1,0,1,0
18,6,9,3,0,2,1,0,0.1667,0.3333,2.56,3,1,0,0,1
8,6,2,0,0,4,0,0,0.0,0.75,2.787,0,1,0,0,0
4,4,0,0,0,4,3,0,0.0,1.0,0.561,0,1,1,1,0
6,6,0,0,0,2,7,0,0.0,1.0,2.13,0,1,1,0,0
22,19,3,0,0,6,2,0,0.0,0.8636,3.498,0,1,0,0,0
12,5,7,0,0,0,6,0,0.0,0.4167,2.866,0,0,0,0,0
2,2,0,1,0,2,0,0,0.5,1.0,3.223,1,1,0,0,1
11,8,3,0,0,2,3,0,0.0,0.7273,0.578,0,1,0,0,0
10,3,7,1,3,1,6,1,0.1,0.3,1.346,7,0,1,1,1
6,6,0,0,0,1,4,0,0.0,1.0,2.589,0,1,0,0,0
25,10,15,1,0,0,7,0,0.04,0.4,0.788,1,0,1,0,0
10,3,7,2,4,3,6,1,0.2,0.3,1.111,10,0,1,0,1
24,11,13,0,0,3,7,0,0.0,0.4583,2.745,0,1,0,0,0
4,4,0,0,0,4,1,0,0.0,1.0,1.436,0,1,1,0,0
9,4,3,2,0,1,3,0,0.2222,0.4444,3.006,2,1,1,0,1
10,4,6,1,3,3,4,1,0.1,0.4,2.388,7,1,0,1,1
15,3,12,0,2,1,11,1,0.0,0.2,1.169,4,0,1,1,0
6,5,1,0,0,4,1,0,0.0,0.8333,1.862,0,1,0,0,0
12,1,6,5,0,0,4,0,0.4167,0.0833,2.705,5,0,0,1,1
24,20,4,0,0,5,6,0,0.0,0.8333,1.444,0,1,1,0,0
39,13,26,2,3,9,7,1,0.0513,0.3333,1.431,8,1,1,0,0
23,6,17,0,0,3,7,0,0.0,0.2609,1.324,0,0,1,0,0
25,9,16,0,3,0,3,1,0.0,0.36,1.536,6,0,1,1,0
11,4,2,5,0,2,5,0,0.4545,0.3636,3.119,5,1,0,0,1
20,8,12,0,0,6,4,0,0.0,0.4,0.961,0,1,1,0,0
37,5,32,0,4,1,5,1,0.0,0.1351,1.476,8,0,1,0,0
15,5,10,2,0,0,2,0,0.1333,0.3333,0.832,2,0,0,0,1
20,8,12,0,0,0,2,0,0.0,0.4,1.756,0,0,1,0,0
14,5,5,4,0,2,2,0,0.2857,0.3571,0.616,4,1,1,0,1
2,2,0,0,0,1,0,0,0.0,1.0,2.639,0,1,0,0,0
31,6,25,0,0,6,13,0,0.0,0.1935,2.506,0,0,0,0,0
34,17,17,2,6,0,5,1,0.0588,0.5,2.441,14,0,0,0,0
5,2,3,1,0,2,3,0,0.2,0.4,1.998,1,1,0,0,1
5,2,3,1,0,1,0,0,0.2,0.4,0.679,1,1,0,1,1
15,5,10,0,1,1,1,1,0.0,0.3333,1.038,2,1,0,1,0
13,6,7,0,0,0,2,0,0.0,0.4615,2.295,0,1,0,1,0
20,8,9,3,0,0,2,0,0.15,0.4,0.542,3,0,1,0,1
8,3,5,1,0,0,2,0,0.125,0.375,2.25,1,0,0,0,1
59,7,52,2,2,7,10,1,0.0339,0.1186,2.655,6,0,0,0,0
25,6,19,1,3,0,6,1,0.04,0.24,3.373,7,0,0,1,0
17,1,10,6,0,1,2,0,0.3529,0.0588,2.318,6,0,1,0,1
6,4,2,0,0,0,2,0,0.0,0.6667,0.829,0,0,0,0,0
36,14,22,0,4,4,10,1,0.0,0.3889,2.173,8,1,0,0,0
3,0,3,1,0,0,0,0,0.3333,0.0,0.787,1,0,0,0,1
14,5,9,1,0,0,7,0,0.0714,0.3571,0.971,1,0,1,0,1
56,6,50,4,0,4,15,0,0.0714,0.1071,3.36,4,0,0,0,0
14,14,0,0,0,12,2,0,0.0,1.0,2.965,0,1,0,0,0
15,3,12,1,4,2,11,1,0.0667,0.2,2.844,9,0,0,0,1
8,1,1,6,0,1,3,0,0.75,0.125,1.442,6,0,0,0,1
28,6,22,0,1,3,1,1,0.0,0.2143,1.327,2,0,1,1,0
13,6,7,0,2,0,4,1,0.0,0.4615,2.939,4,0,1,1,0
76,11,65,2,5,10,7,1,0.0263,0.1447,1.343,12,1,1,0,0
8,5,3,0,0,0,3,0,0.0,0.625,0.843,0,0,1,0,0
13,6,7,0,0,4,4,0,0.0,0.4615,0.93,0,1,1,0,0
15,4,11,1,1,2,3,1,0.0667,0.2667,0.803,3,0,1,1,1
2,0,2,0,0,0,0,0,0.0,0.0,0.916,0,0,0,1,0
4,1,3,1,0,0,0,0,0.25,0.25,0.807,1,0,0,1,1
27,9,18,2,5,4,3,1,0.0741,0.3333,2.797,12,1,0,0,0
23,8,15,0,2,0,2,1,0.0,0.3478,0.588,4,0,1,1,1
4,1,3,1,0,0,1,0,0.25,0.25,1.296,1,0,0,0,1
13,11,0,2,0,2,4,0,0.1538,0.8462,0.577,2,1,1,0,0
36,10,26,1,5,2,12,1,0.0278,0.2778,1.318,11,0,1,0,0
20,14,6,0,0,14,0,0,0.0,0.7,3.191,0,1,0,0,0
16,6,10,0,1,0,1,1,0.0,0.375,3.197,2,0,0,1,0
9,1,2,6,0,1,3,0,0.6667,0.1111,1.252,6,0,1,0,1
38,10,28,4,5,6,17,1,0.1053,0.2632,1.083,14,1,1,0,0
34,14,20,1,0,3,13,0,0.0294,0.4118,1.035,1,1,1,0,0
27,5,22,1,6,0,12,1,0.037,0.1852,2.645,13,0,0,0,0
14,12,2,0,0,3,2,0,0.0,0.8571,2.155,0,1,0,0,0
15,9,3,3,0,0,1,0,0.2,0.6,2.521,3,0,0,0,1
18,6,12,0,0,3,3,0,0.0,0.3333,1.28,0,0,1,0,0
15,6,9,1,3,0,2,1,0.0667,0.4,3.322,7,0,0,1,1
12,4,8,1,0,2,4,0,0.0833,0.3333,1.154,1,1,1,0,1
71,25,46,1,0,1,6,0,0.0141,0.3521,3.487,1,1,0,0,0
20,11,9,0,0,9,1,0,0.0,0.55,1.454,0,1,1,0,0
7,7,0,0,0,6,1,0,0.0,1.0,1.367,0,1,1,0,0
6,3,3,1,0,3,1,0,0.1667,0.5,3.285,1,1,0,0,1
6,4,2,0,0,1,3,0,0.0,0.6667,2.706,0,1,0,0,0
22,14,8,0,0,4,4,0,0.0,0.6364,0.736,0,1,1,0,0
8,8,0,0,0,6,3,0,0.0,1.0,2.964,0,1,0,0,0
17,2,15,2,0,1,2,0,0.1176,0.1176,2.84,2,0,0,0,1
58,8,50,0,0,2,16,0,0.0,0.1379,3.105,0,0,0,0,0
7,7,0,1,0,3,3,0,0.1429,1.0,2.134,1,1,0,0,1
16,8,8,0,0,6,3,0,0.0,0.5,1.634,0,1,1,0,0
12,2,10,0,2,0,3,1,0.0,0.1667,1.729,4,0,0,1,0
10,3,3,4,0,2,2,0,0.4,0.3,0.552,4,0,1,0,1
9,2,7,1,0,1,6,0,0.1111,0.2222,3.324,1,0,0,0,1
20,8,12,0,0,3,4,0,0.0,0.4,3.349,0,1,0,0,0
19,8,11,1,2,3,6,1,0.0526,0.4211,3.075,5,1,0,1,1
42,15,27,3,1,4,8,1,0.0714,0.3571,2.325,5,1,0,0,0
19,4,15,1,0,1,8,0,0.0526,0.2105,1.526,1,0,1,0,1
11,5,6,2,0,0,3,0,0.1818,0.4545,0.778,2,0,1,0,1
12,8,4,0,0,0,6,0,0.0,0.6667,1.755,0,0,1,0,0
42,19,23,5,5,3,10,1,0.119,0.4524,3.37,15,1,0,0,0
11,2,9,0,3,2,6,1,0.0,0.1818,2.06,6,0,0,1,0
27,8,19,1,2,2,1,1,0.037,0.2963,1.354,5,0,1,1,0
6,3,0,3,0,1,5,0,0.5,0.5,1.699,3,1,0,0,0
13,6,7,0,4,1,4,1,0.0,0.4615,0.625,8,1,1,0,0
15,8,7,0,0,3,4,0,0.0,0.5333,2.802,0,1,0,1,0
14,8,6,0,0,4,8,0,0.0,0.5714,2.167,0,1,0,0,0
11,11,0,0,0,10,0,0,0.0,1.0,0.925,0,1,1,0,0
12,2,10,0,2,2,10,1,0.0,0.1667,1.899,4,1,0,1,0
5,2,3,0,1,2,5,1,0.0,0.4,2.283,2,1,0,1,0
19,7,12,1,3,2,2,1,0.0526,0.3684,1.0,7,1,1,1,1
9,5,2,2,0,0,2,0,0.2222,0.5556,1.511,2,0,1,0,1
72,34,38,2,4,3,19,1,0.0278,0.4722,2.404,10,1,0,0,0
6,6,0,1,0,6,2,0,0.1667,1.0,1.359,1,1,0,0,1
17,12,2,3,0,1,4,0,0.1765,0.7059,2.708,3,1,0,0,1
13,4,9,1,2,1,1,1,0.0769,0.3077,1.002,5,1,1,1,1
14,8,6,0,0,8,3,0,0.0,0.5714,1.43,0,1,1,0,0
27,2,25,1,2,2,3,1,0.037,0.0741,0.848,5,0,0,0,0
6,2,4,0,1,0,6,1,0.0,0.3333,3.085,2,0,0,1,0
23,2,21,1,0,1,4,0,0.0435,0.087,1.235,1,0,0,0,0
20,7,13,1,0,0,6,0,0.05,0.35,2.089,1,1,0,0,0
29,4,25,1,2,4,12,1,0.0345,0.1379,1.816,5,0,0,1,0
11,5,6,0,0,0,7,0,0.0,0.4545,2.196,0,0,0,0,0
16,6,10,2,0,0,4,0,0.125,0.375,0.73,2,0,1,1,1
6,1,5,1,0,1,3,0,0.1667,0.1667,0.937,1,0,0,0,1
16,4,12,1,2,0,4,1,0.0625,0.25,2.854,5,0,0,1,1
8,0,8,0,0,0,2,0,0.0,0.0,2.378,0,0,0,0,0
34,4,30,2,6,1,10,1,0.0588,0.1176,2.172,14,0,0,0,0
21,6,15,0,0,0,3,0,0.0,0.2857,0.948,0,0,1,0,0
12,9,3,0,0,4,4,0,0.0,0.75,0.801,0,1,1,0,0
9,7,2,0,0,5,3,0,0.0,0.7778,1.147,0,1,1,1,1
22,5,17,1,0,0,5,0,0.0455,0.2273,0.668,1,0,1,0,0
18,7,11,2,0,1,3,0,0.1111,0.3889,3.387,2,1,0,0,1
17,17,0,0,0,1,8,0,0.0,1.0,1.169,0,1,1,0,0
14,7,7,0,1,1,3,1,0.0,0.5,2.181,2,1,0,1,0
12,12,0,0,0,12,1,0,0.0,1.0,2.927,0,1,0,0,0
39,17,22,2,3,2,5,1,0.0513,0.4359,0.844,8,1,1,0,0
7,0,7,1,0,0,3,0,0.1429,0.0,2.349,1,0,0,0,1
21,8,13,0,0,1,3,0,0.0,0.381,2.419,0,1,0,0,0
16,15,1,0,0,15,2,0,0.0,0.9375,2.364,0,1,0,0,1
80,30,50,3,4,8,12,1,0.0375,0.375,1.811,11,1,0,0,0
36,8,28,2,6,3,10,1,0.0556,0.2222,2.625,14,0,1,0,0
4,4,0,0,0,4,4,0,0.0,1.0,1.241,0,1,1,0,0
20,4,16,0,6,1,12,1,0.0,0.2,2.711,12,0,0,0,0
8,3,5,0,0,1,0,0,0.0,0.375,0.671,0,1,0,0,0
9,3,6,1,0,0,7,0,0.1111,0.3333,2.909,1,0,0,0,1
6,6,0,1,0,6,3,0,0.1667,1.0,0.811,1,1,1,0,1
29,4,25,0,1,0,2,1,0.0,0.1379,1.488,2,0,1,0,0
5,5,0,0,0,3,0,0,0.0,1.0,2.764,0,1,0,0,0
80,15,65,3,3,1,13,1,0.0375,0.1875,2.28,9,0,0,0,0
14,4,10,1,2,3,4,1,0.0714,0.2857,2.323,5,0,0,1,1
11,4,7,0,2,2,1,1,0.0,0.3636,0.713,4,1,1,1,0
25,16,9,0,0,6,4,0,0.0,0.64,2.146,0,1,1,0,0
22,17,5,0,0,2,3,0,0.0,0.7727,1.891,0,1,0,0,0
4,3,1,0,0,1,3,0,0.0,0.75,1.379,0,1,1,0,0
9,9,0,0,0,2,6,0,0.0,1.0,1.02,0,1,1,0,0
11,1,4,6,0,1,4,0,0.5455,0.0909,2.997,6,0,0,0,1
6,6,0,0,0,2,3,0,0.0,1.0,3.403,0,1,0,0,0
21,8,13,0,3,3,1,1,0.0,0.381,2.478,6,1,0,1,0
3,1,2,1,0,0,1,0,0.3333,0.3333,0.588,1,0,0,0,1
36,18,18,2,3,9,20,1,0.0556,0.5,0.527,8,1,1,0,0
16,7,9,0,0,1,8,0,0.0,0.4375,0.923,0,1,1,0,0
11,4,7,1,0,1,2,0,0.0909,0.3636,2.474,1,1,0,0,1
4,4,0,0,0,4,0,0,0.0,1.0,1.802,0,1,0,0,0
6,1,5,1,0,0,1,0,0.1667,0.1667,2.55,1,0,0,0,1
23,8,15,1,1,3,6,1,0.0435,0.3478,2.112,3,1,0,1,0
73,19,54,1,0,2,15,0,0.0137,0.2603,1.572,1,0,1,0,0
7,7,0,0,0,4,2,0,0.0,1.0,2.969,0,1,0,0,0
11,3,8,1,5,1,9,1,0.0909,0.2727,1.758,11,0,1,0,1
25,4,21,0,1,0,4,1,0.0,0.16,2.839,2,0,1,1,0
1,1,0,0,0,0,1,0,0.0,1.0,0.706,0,0,0,0,0
17,11,6,0,0,2,3,0,0.0,0.6471,1.9,0,1,0,0,0
8,1,1,6,0,1,2,0,0.75,0.125,1.874,6,0,0,0,1
61,9,52,1,1,4,9,1,0.0164,0.1475,1.759,3,0,1,0,0
21,12,9,0,0,1,6,0,0.0,0.5714,3.111,0,0,0,0,0
18,11,7,0,0,9,0,0,0.0,0.6111,3.426,0,1,0,0,0
39,11,28,2,3,3,9,1,0.0513,0.2821,2.788,8,0,0,0,0
7,7,0,0,0,2,7,0,0.0,1.0,2.916,0,1,0,1,0
19,4,11,4,0,2,4,0,0.2105,0.2105,2.309,4,0,0,0,1
