statement,class_id,class_name
bool err = i || !k;,11,Logical Expression
table[ret] = arr[k - 1];,6,Array Access
free(k); sum = NULL;,13,Memory Allocation
flag = memset(y) + 102;,0,Assignment
return index * 28;,5,Return
z = buf[56];,6,Array Access
float code;,3,Declaration
uint8_t z[73] = {0};,3,Declaration
double y = flag + 4;,3,Declaration
if (flag > 82) { },2,Conditional
z = len * 5;,0,Assignment
memset();,4,Function Call
x = (int) (ret + temp);,12,Cast Expression
buf[105] = sqrt(size);,6,Array Access
err = list[17];,6,Array Access
if (list[value] == 19) { },6,Array Access
*count = atoi(value);,7,Pointer Operation
bool value = !x && !total;,11,Logical Expression
flag = (float) (count - 107);,12,Cast Expression
return n >= 0;,5,Return
if (ret != 98) { },2,Conditional
*err = code;,7,Pointer Operation
for (j = 0; k < 91; y++) { },1,Loop
n.data = i.tail;,8,Struct Access
value = code / i;,0,Assignment
while (value != NULL) { },1,Loop
const char x = abs(x);,3,Declaration
k = arr[index] + buf[code];,6,Array Access
*total += 126;,7,Pointer Operation
if (!(k && total)) { },11,Logical Expression
do { } while (--index > 0);,1,Loop
if (x != 62) { },2,Conditional
static uint8_t count;,3,Declaration
j->prev = k->val;,8,Struct Access
count = index ^ 72;,10,Bitwise Operation
if (k->head == NULL) { },8,Struct Access
result = err - err;,0,Assignment
do { } while (count < 13);,1,Loop
catch (const std::out_of_range &size) { },14,Exception Handling
return j > 0 && n < 18;,5,Return
index >>= 1;,9,Increment/Decrement
return x + ret;,5,Return
if ((flag & 94) != 0) { },10,Bitwise Operation
"strlen(index, &sum);",4,Function Call
i = (double) 21;,12,Cast Expression
assert(total >= 0);,14,Exception Handling
err = code + k + 60;,0,Assignment
if (!size && sum) { },11,Logical Expression
i = y / 17;,0,Assignment
char code = n * 62;,3,Declaration
delete[] result;,13,Memory Allocation
for (result = 0; i < 70; j++) { },1,Loop
if (offset > 76) { },2,Conditional
"throw std::runtime_error(""count"");",14,Exception Handling
if (!(offset && result)) { },11,Logical Expression
if (n < 67) { },2,Conditional
i = !code;,11,Logical Expression
x ^= size;,10,Bitwise Operation
"static_assert(sizeof(double) == 104, ""size mismatch"");",14,Exception Handling
throw;,14,Exception Handling
uint32_t total[61][106];,3,Declaration
result = NULL;,0,Assignment
value = (size_t *) result;,12,Cast Expression
double total = !value;,11,Logical Expression
uint8_t *index = (uint8_t *) j;,7,Pointer Operation
value = atoi(result);,0,Assignment
float *len = NULL;,7,Pointer Operation
struct point sum;,3,Declaration
uint8_t flag = count.key;,8,Struct Access
table[result]++;,9,Increment/Decrement
if (!(y && len)) { },11,Logical Expression
if (*y == 65) { },7,Pointer Operation
err &= 106;,10,Bitwise Operation
ret ^= value;,10,Bitwise Operation
offset = new int();,13,Memory Allocation
total = *x;,7,Pointer Operation
static char index;,3,Declaration
return k * 82;,5,Return
if (k > 0 && n < 19) { },2,Conditional
if (sum || count) { },2,Conditional
try { } catch (...) { },14,Exception Handling
if (y != 72) { },2,Conditional
"memset(j, 0, sizeof(i));",4,Function Call
if (k > 56) { },2,Conditional
double index = 122;,3,Declaration
temp = count << 84;,10,Bitwise Operation
if (k > 0 && err < 110) { },2,Conditional
header_init(&result);,4,Function Call
free(value); k = NULL;,13,Memory Allocation
float code = static_cast<long>(sum);,12,Cast Expression
if (!value && size) { },11,Logical Expression
value = list[ret - 1];,6,Array Access
size_t *y = malloc(sizeof(int64_t) * 50);,13,Memory Allocation
n = *(result + 69);,7,Pointer Operation
int result[72];,3,Declaration
if (abs(code) || code <= 38) { },11,Logical Expression
nums[ret] += 14;,6,Array Access
catch (const std::out_of_range &ret) { },14,Exception Handling
if (!k || n > 2) { },2,Conditional
int64_t index[39] = {0};,3,Declaration
(*index)--;,9,Increment/Decrement
if (abs(x) > 0) { },2,Conditional
for (int size = 0; err < x; ++offset) { },1,Loop
assert(code > 0);,14,Exception Handling
value >>= 1;,9,Increment/Decrement
if (len <= 87) { },2,Conditional
if ((total = malloc(sizeof(uint8_t))) == NULL) { },13,Memory Allocation
char offset = (size_t) flag / 115;,12,Cast Expression
*code = *count;,7,Pointer Operation
double err[36];,3,Declaration
if (len != NULL) { },2,Conditional
extern double ret;,3,Declaration
"ret = (long *) calloc(112, sizeof(float));",13,Memory Allocation
"scanf(""%d"", &total);",4,Function Call
for (count = 0; y < len; n++) { },1,Loop
"throw std::out_of_range(""value"");",14,Exception Handling
double k = flag + 102;,3,Declaration
result >>= 61;,9,Increment/Decrement
return count + 7;,5,Return
offset = (uint8_t) offset * 104;,12,Cast Expression
"index = realloc(offset, 74);",13,Memory Allocation
auto count = 6;,3,Declaration
"static_assert(sizeof(float) == 62, ""size mismatch"");",14,Exception Handling
char *total = (float *) malloc(sizeof(char) * 123);,13,Memory Allocation
j->len += 109;,8,Struct Access
"if (code > 33) throw std::bad_alloc(""total"");",14,Exception Handling
assert(ret < 77);,4,Function Call
arr[j]++;,9,Increment/Decrement
if (n == &err) { },7,Pointer Operation
while (index != 103 && k > 0) { },1,Loop
for (int temp = 1; sum < 76; err *= 2) { },1,Loop
if (len.left == 0) { },8,Struct Access
value->prev = 67;,8,Struct Access
do { } while (code == 19);,1,Loop
--(*n);,9,Increment/Decrement
extern float sum;,3,Declaration
char y = (size_t) 55;,3,Declaration
for (int count = 30 - 1; offset >= 0; x--) { },1,Loop
if (strlen(err) > 0) { },2,Conditional
if (ret == 87 || total == 92) { },2,Conditional
return flag;,5,Return
assert(flag > 0);,14,Exception Handling
return 11;,5,Return
y = (int64_t) (err + z);,12,Cast Expression
return i >= 0;,5,Return
if (count == 0) { },2,Conditional
catch (std::bad_alloc &i) { },14,Exception Handling
total = 0;,0,Assignment
k = (bool) n;,12,Cast Expression
return value - 63;,5,Return
uint32_t *n = malloc(sizeof(int64_t) * 116);,13,Memory Allocation
data[sum] += 20;,6,Array Access
y = offset / 11;,0,Assignment
int64_t sum = (size_t) x / 68;,12,Cast Expression
if (i < x) { },2,Conditional
k.right += 68;,8,Struct Access
i->right--;,9,Increment/Decrement
size_t *n = &i;,7,Pointer Operation
++x;,9,Increment/Decrement
if (!(index || code)) { },11,Logical Expression
size = code.data;,8,Struct Access
if (len && !value) { },11,Logical Expression
for (int sum = 0; ret <= 56; result++) { },1,Loop
j = sizeof(total);,0,Assignment
if (j != 0) throw std::bad_alloc();,14,Exception Handling
free(k);,13,Memory Allocation
if (sum > 57 && z < 63) { },2,Conditional
for (int len = 40; n > 0; flag--) { },1,Loop
throw std::runtime_error(std::to_string(n));,14,Exception Handling
value = abs(x) - j;,0,Assignment
return -1;,5,Return
bool value = (index && y);,11,Logical Expression
if (*i != NULL) { },7,Pointer Operation
(*n)--;,9,Increment/Decrement
nums[9] = abs(count);,6,Array Access
delete result;,13,Memory Allocation
if (err == 0) { },2,Conditional
size &= n;,10,Bitwise Operation
while (value != 92) { },1,Loop
return -1;,5,Return
memcpy(err);,4,Function Call
if ((err = malloc(sizeof(int))) == NULL) { },13,Memory Allocation
"memset(k, 0, 46);",13,Memory Allocation
do { } while (value >= 32);,1,Loop
k->data += 60;,8,Struct Access
void *code = (void *) result;,7,Pointer Operation
packet_destroy(y);,4,Function Call
assert(i < 118);,14,Exception Handling
y &= 78;,10,Bitwise Operation
(len--);,9,Increment/Decrement
return sizeof(uint32_t);,5,Return
y->next = 33;,8,Struct Access
buf[sum]++;,9,Increment/Decrement
if (offset->right <= 109) { },8,Struct Access
static size_t flag;,3,Declaration
temp |= value;,10,Bitwise Operation
struct list ret;,3,Declaration
++(*temp);,9,Increment/Decrement
count = (n < y) ? 1 : 0;,11,Logical Expression
int64_t k = count.flags;,8,Struct Access
for (int sum = 0; i <= 72; z++) { },1,Loop
j = code | (1 << 31);,10,Bitwise Operation
memset();,4,Function Call
total = NULL;,0,Assignment
return 114;,5,Return
return count + temp;,5,Return
"memcpy(size, offset, 72);",4,Function Call
if (z != NULL) { },2,Conditional
(*code)++;,9,Increment/Decrement
"log(&count, 2);",4,Function Call
"sqrt(value, len, 107);",4,Function Call
*total = *total + 97;,7,Pointer Operation
return index - 26;,5,Return
value = sizeof(uint8_t);,0,Assignment
buf[code]++;,9,Increment/Decrement
extern float n;,3,Declaration
return size + 15;,5,Return
if (flag == 0) { },2,Conditional
return (code == sum) ? 1 : 0;,5,Return
bool ret = !count && !i;,11,Logical Expression
"sqrt(total, fopen(code));",4,Function Call
return offset > j;,5,Return
if (result || k) { },2,Conditional
if ((index & 19) == 0) { },10,Bitwise Operation
return 62;,5,Return
size_t x[7] = {0};,3,Declaration
bool n = (float) memset(k);,12,Cast Expression
--count;,9,Increment/Decrement
"static_assert(sizeof(double) == 102, ""size mismatch"");",14,Exception Handling
if (arr[n] == 92) { },6,Array Access
err >>= 104;,9,Increment/Decrement
j = j ^ 61;,10,Bitwise Operation
"printf(""%d\n"", code);",4,Function Call
j = (total >> 38) & 61;,10,Bitwise Operation
return n + offset;,5,Return
while (len < 120) { },1,Loop
if (value || code) { },11,Logical Expression
if (count > 0 && n < 66) { },2,Conditional
if (sqrt(k) == 0) { },2,Conditional
while (z) { },1,Loop
while (x < 93 && size > 0) { },1,Loop
return value != NULL;,5,Return
assert(len != NULL);,14,Exception Handling
len = (float) index;,12,Cast Expression
static int value = 109;,3,Declaration
if (static_cast<double>(temp) != 78) { },12,Cast Expression
i = malloc(8);,13,Memory Allocation
double count;,3,Declaration
bool code = value || !err;,11,Logical Expression
double *flag = reinterpret_cast<int *>(total);,12,Cast Expression
flag = temp.data;,8,Struct Access
x >>= 107;,9,Increment/Decrement
while ((i = exp(err)) > 0) { },1,Loop
if (code.size == 0) { },8,Struct Access
if (ret && !len) { },11,Logical Expression
auto offset = atoi(total);,3,Declaration
for (int total = 0; y < n; ++x) { },1,Loop
while (value != 90 && value > 0) { },1,Loop
if (flag != NULL) { },2,Conditional
bool j = (result && flag);,11,Logical Expression
index <<= 48;,9,Increment/Decrement
(*result)--;,7,Pointer Operation
data[x] -= 34;,6,Array Access
if ((x == 54) && (x != 55) && i) { },11,Logical Expression
return (bool *) z;,12,Cast Expression
if (n == NULL) throw std::invalid_argument();,14,Exception Handling
"printf(""%d %d\n"", ret, size);",4,Function Call
for (int temp = 0; x <= 24; count++) { },1,Loop
"printf(""%d\n"", offset);",4,Function Call
i <<= 119;,9,Increment/Decrement
"index = realloc(value, sizeof(long) * 82);",13,Memory Allocation
temp = z || err;,11,Logical Expression
size = (size_t) scanf(z);,12,Cast Expression
return temp >= 0;,5,Return
float offset = (size_t) 53;,3,Declaration
k = code << 33;,10,Bitwise Operation
char offset[19][72];,3,Declaration
if ((index = malloc(sizeof(bool))) == NULL) { },13,Memory Allocation
uint32_t y;,3,Declaration
if (data[total] == 116) { },6,Array Access
i = NULL;,0,Assignment
result = static_cast<uint32_t>(ret);,12,Cast Expression
y.tail = memcpy(code);,8,Struct Access
assert(flag == len);,14,Exception Handling
bool code = (sum && i);,11,Logical Expression
count = sum->head;,8,Struct Access
do { } while (--ret > 0);,1,Loop
"if (n > 21) throw std::bad_alloc(""overflow"");",14,Exception Handling
while (code != NULL) { },1,Loop
"printf(z, 41);",4,Function Call
sum = n >> 121;,10,Bitwise Operation
fclose(k);,4,Function Call
static long size = 57;,3,Declaration
while (i == code) { },1,Loop
z->next = scanf(offset);,8,Struct Access
fclose(z);,4,Function Call
total++;,9,Increment/Decrement
nums[k] = 84;,6,Array Access
temp = 60;,0,Assignment
"offset = calloc(85, sizeof(int64_t));",13,Memory Allocation
"long *k = (uint32_t *) realloc(size, 107);",13,Memory Allocation
"if (err > 4) throw std::runtime_error(""overflow"");",14,Exception Handling
x = y >> 18;,10,Bitwise Operation
int *flag = malloc(sizeof(double) * 103);,13,Memory Allocation
try { } catch (...) { },14,Exception Handling
do { } while (code < 67);,1,Loop
x = malloc(sizeof(long) * 113);,13,Memory Allocation
offset = NULL;,0,Assignment
if (count == NULL) throw std::runtime_error();,14,Exception Handling
extern uint8_t value;,3,Declaration
y = err + total + 87;,0,Assignment
ret = count - 35;,0,Assignment
"atoi(total, value, 85);",4,Function Call
return 0;,5,Return
if (total == 0) { },2,Conditional
--i;,9,Increment/Decrement
*size = flag;,7,Pointer Operation
int64_t j = (j && j);,11,Logical Expression
err = new uint8_t[104];,13,Memory Allocation
void *k = (void *) i;,7,Pointer Operation
while (k) { },1,Loop
std::unique_ptr<bool> len = std::make_unique<size_t>();,13,Memory Allocation
while (x) { },1,Loop
do { } while (--len > 0);,1,Loop
free(temp); ret = NULL;,13,Memory Allocation
code = &value;,7,Pointer Operation
return flag + y;,5,Return
do { } while (--err > 0);,1,Loop
if (!flag) { },2,Conditional
if (err == NULL) { },2,Conditional
z = j * temp - 49;,0,Assignment
uint8_t k[116];,3,Declaration
x = (bool) (count + total);,12,Cast Expression
ret = index * 9;,0,Assignment
if (offset || k) { },11,Logical Expression
if (flag == flag) { },2,Conditional
return (result > 100) ? index : 102;,5,Return
assert(flag > 0);,14,Exception Handling
bool **len = &total;,7,Pointer Operation
result = x + 34;,0,Assignment
n = (total | 117) << 112;,10,Bitwise Operation
if (code->prev == NULL) { },8,Struct Access
y = (ret & 123) >> 124;,10,Bitwise Operation
temp = offset / 118;,0,Assignment
offset = matrix[i] + stack[code];,6,Array Access
ret = (k != ret) ? 1 : 0;,11,Logical Expression
delete[] count;,13,Memory Allocation
j = rand(count) + 82;,0,Assignment
list[flag] = 58;,6,Array Access
extern float n;,3,Declaration
flag = result * z;,0,Assignment
bool i = (z && total);,11,Logical Expression
if (value != 108) { },2,Conditional
return (len == y) ? 1 : 0;,5,Return
return (long) err;,12,Cast Expression
temp = static_cast<bool>(flag);,12,Cast Expression
count = &data[ret];,7,Pointer Operation
long **temp = &temp;,7,Pointer Operation
vals[sum]--;,6,Array Access
"memcpy(sum, 65);",4,Function Call
sum = (int) (size + temp);,12,Cast Expression
size_t *i = (size_t *) malloc(sizeof(size_t) * 36);,13,Memory Allocation
if (n != 0) throw std::out_of_range();,14,Exception Handling
offset = (result | 105) << 81;,10,Bitwise Operation
const uint32_t n = (float) index;,12,Cast Expression
"memcpy(code, index, 76);",4,Function Call
return k->flags;,8,Struct Access
uint32_t *n = malloc(sizeof(char));,13,Memory Allocation
"printf(""%s\n"", sum);",4,Function Call
size = flag->len;,8,Struct Access
vals[err] = y;,6,Array Access
uint32_t *i = NULL;,7,Pointer Operation
"sqrt(err, &total);",4,Function Call
if (table[result] > 118) { },6,Array Access
"memset(sum, 0, sizeof(n));",4,Function Call
if ((y & 106) == 0) { },10,Bitwise Operation
bool i = flag || !size;,11,Logical Expression
if (offset.next == 70) { },8,Struct Access
rand(y);,4,Function Call
free(x);,4,Function Call
bool *k = malloc(sizeof(bool) * 10);,13,Memory Allocation
"int k, err;",3,Declaration
while (err < 26) { },1,Loop
"printf(""%d\n"", count);",4,Function Call
while (err != NULL) { },1,Loop
"if (i < 0) throw std::bad_alloc(""result"");",14,Exception Handling
uint32_t k = (float) abs(x);,12,Cast Expression
uint32_t *flag = new long[19];,13,Memory Allocation
cfg_init(&index);,4,Function Call
index = (result <= x) ? 1 : 0;,11,Logical Expression
"throw std::bad_alloc(""invalid "" + std::to_string(size));",14,Exception Handling
if (total && !size) { },11,Logical Expression
"char i = 0, size = 20;",3,Declaration
ret = (size & 51) >> 40;,10,Bitwise Operation
size = 111 * 20;,0,Assignment
switch (value) { },2,Conditional
z.len = code;,8,Struct Access
if (offset & 15) { },10,Bitwise Operation
assert(count >= 0);,14,Exception Handling
y = vals[size] + 74;,6,Array Access
catch (...) { },14,Exception Handling
char *code = (double *) malloc(sizeof(float) * 119);,13,Memory Allocation
err = x || j;,11,Logical Expression
queue[ret] = flag;,6,Array Access
while ((offset = exp(value)) > 0) { },1,Loop
free(value); err = NULL;,13,Memory Allocation
uint32_t *k = (int64_t *) total;,12,Cast Expression
result = nums[i] + 101;,6,Array Access
delete len;,13,Memory Allocation
