token_seq,class_id,class_name
IDENTIFIER OPERATOR KW_lambda IDENTIFIER DELIMITER IDENTIFIER DELIMITER IDENTIFIER,11,lambda_expr
KW_return DELIMITER IDENTIFIER DELIMITER,6,return_stmt
KW_raise IDENTIFIER DELIMITER IDENTIFIER DELIMITER,13,raise_stmt
IDENTIFIER OPERATOR IDENTIFIER OPERATOR IDENTIFIER OPERATOR IDENTIFIER OPERATOR INTEGER,0,assignment
KW_if IDENTIFIER KW_is KW_None DELIMITER,5,if_stmt
KW_return DELIMITER INTEGER DELIMITER INTEGER DELIMITER,6,return_stmt
KW_for IDENTIFIER KW_in KW_reversed DELIMITER IDENTIFIER DELIMITER DELIMITER,3,for_loop
KW_for IDENTIFIER KW_in IDENTIFIER DELIMITER IDENTIFIER DELIMITER IDENTIFIER DELIMITER DELIMITER,3,for_loop
KW_for IDENTIFIER KW_in KW_range DELIMITER IDENTIFIER DELIMITER INTEGER DELIMITER DELIMITER,3,for_loop
KW_class IDENTIFIER DELIMITER IDENTIFIER DELIMITER,2,classdef
IDENTIFIER OPERATOR IDENTIFIER KW_is KW_not KW_None,0,assignment
KW_while KW_not IDENTIFIER KW_and IDENTIFIER OPERATOR INTEGER DELIMITER,4,while_loop
KW_try DELIMITER,12,try_except
KW_return IDENTIFIER KW_and IDENTIFIER,6,return_stmt
KW_return DELIMITER IDENTIFIER DELIMITER IDENTIFIER DELIMITER,6,return_stmt
KW_return IDENTIFIER DELIMITER IDENTIFIER DELIMITER IDENTIFIER DELIMITER,6,return_stmt
KW_import IDENTIFIER DELIMITER IDENTIFIER,7,import_stmt
IDENTIFIER OPERATOR KW_lambda IDENTIFIER DELIMITER IDENTIFIER DELIMITER IDENTIFIER OPERATOR IDENTIFIER OPERATOR IDENTIFIER,11,lambda_expr
KW_except DELIMITER IDENTIFIER DELIMITER IDENTIFIER DELIMITER,12,try_except
KW_else DELIMITER,5,if_stmt
KW_class IDENTIFIER DELIMITER IDENTIFIER DELIMITER,2,classdef
KW_from IDENTIFIER KW_import IDENTIFIER KW_as IDENTIFIER,7,import_stmt
KW_def IDENTIFIER DELIMITER KW_self DELIMITER IDENTIFIER DELIMITER DELIMITER,1,funcdef
IDENTIFIER DELIMITER IDENTIFIER DELIMITER IDENTIFIER DELIMITER,8,func_call
IDENTIFIER OPERATOR DELIMITER IDENTIFIER DELIMITER,0,assignment
KW_def IDENTIFIER DELIMITER KW_self DELIMITER DELIMITER,1,funcdef
KW_for IDENTIFIER DELIMITER IDENTIFIER KW_in KW_zip DELIMITER IDENTIFIER DELIMITER IDENTIFIER DELIMITER DELIMITER,3,for_loop
KW_return IDENTIFIER OPERATOR IDENTIFIER,6,return_stmt
KW_import IDENTIFIER DELIMITER IDENTIFIER DELIMITER IDENTIFIER,7,import_stmt
IDENTIFIER OPERATOR KW_lambda IDENTIFIER DELIMITER KW_None,11,lambda_expr
KW_def IDENTIFIER DELIMITER IDENTIFIER OPERATOR INTEGER DELIMITER IDENTIFIER OPERATOR KW_None DELIMITER DELIMITER,1,funcdef
KW_class IDENTIFIER DELIMITER IDENTIFIER DELIMITER,2,classdef
KW_for IDENTIFIER KW_in IDENTIFIER DELIMITER INTEGER DELIMITER DELIMITER,3,for_loop
IDENTIFIER DELIMITER KW_None DELIMITER,8,func_call
IDENTIFIER OPERATOR LBRACE INTEGER DELIMITER IDENTIFIER DELIMITER INTEGER DELIMITER IDENTIFIER RBRACE,10,dict_expr
IDENTIFIER DELIMITER DELIMITER,8,func_call
IDENTIFIER OPERATOR IDENTIFIER OPERATOR IDENTIFIER,0,assignment
KW_def IDENTIFIER DELIMITER IDENTIFIER OPERATOR INTEGER DELIMITER IDENTIFIER OPERATOR KW_None DELIMITER DELIMITER,1,funcdef
